sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_property,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_root_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_cancellation,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_property,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_root_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_cancellation,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_property,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_root_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_cancellation
,an orchard without fruit,orchard,fruit,harvest season,canceled,"(canceled, canceled, canceled)","(2, 1, 2)","(5, 3, 5)","(5, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""fruitful""}']","['{""property"": ""fruit-bearing""}']","['{""property"": ""fruit-bearing""}']",{'property': 'fruitful'},fruitful,0.0,0.8888888888888888,1.0,1.0,1.0,{'property': 'fruit-bearing'},fruit-bearing,0.0,0.8888888888888888,1.0,1.0,1.0,{'property': 'fruit-bearing'},fruit-bearing,0.0,0.8888888888888888,1.0,1.0,1.0
The romantic part of his life was as dead as the foliage in winter.,the foliage in winter,foliage,winter,photosynthetic,canceled,"(canceled, canceled, canceled)","(2, 3, 2)","(5, 5, 4)","(2, 1, 1)",0.8888888888888888,0.1111111111111111,1.0,,False,0.0,1.0,"['{""property"": ""green""}']","['{""property"": ""green""}']","['{""property"": ""green""}']",{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"The fight against piracy is as stupid as the fight against narcotics, no wait, excuse me, the war against narcotics, i guess ya can put another loss on your war talley.",the fight against narcotics,fight,narcotic,narcotic,canceled,"(others, canceled, canceled)","(1, 5, 4)","(1, 2, 2)","(5, 5, 5)",1.0,0.0,0.0,1.0,False,1.0,1.0,"['{""property"": ""addictive""}']","['{""property"": ""addictive""}']","['{""property"": ""addictive""}']",{'property': 'addictive'},addictive,0.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'addictive'},addictive,0.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'addictive'},addictive,0.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888
"They had all glinted together in the sunshine, wheeling together, sinking together, rising together like an army of fairies.",an army of fairies,army,fairies,disciplined,canceled,"(canceled, canceled, others)","(2, 3, 3)","(5, 5, 5)","(1, 1, 2)",0.6666666666666666,0.2222222222222222,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""militaristic""}']","['{""property"": ""military""}']","['{""property"": ""small""}']",{'property': 'militaristic'},militaristic,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667,{'property': 'military'},military,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667,{'property': 'small'},small,0.6666666666666666,0.0,0.8888888888888888,0.8888888888888888,0.2222222222222222
"great , he 'd seen me tear into here like a bunny on fire . ",a bunny on fire,bunny,fire,fluffy,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""cute""}']","['{""property"": ""soft""}']","['{""property"": ""cute""}']",{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'soft'},soft,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"rage shot through me , but it was as explosive as a wet fuse .",a wet fuse,fuse,wet,flammable,canceled,"(component, canceled, canceled)","(2, 2, 2)","(3, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""flammable""}']","['{""property"": ""flammable""}']","['{""property"": ""functional""}']",{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'flammable'},flammable,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'functional'},functional,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888
But I know nothing about motorcycles so my opinion is probably as useful as a gun with zero bullets.,a gun with zero bullets,gun,bullet,lethal,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(5, 5, 5)",0.8888888888888888,0.0,0.8888888888888888,0.833333333,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""lethal""}']","['{""property"": ""dangerous""}']","['{""property"": ""loaded""}']",{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'dangerous'},dangerous,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'loaded'},loaded,0.0,0.3333333333333333,1.0,1.0,1.0
the sap ran from the scalding hole and dripped steadily like blood onto the ground .,blood onto the ground,blood,ground,solid,canceled,"(canceled, canceled, canceled)","(1, 1, 3)","(1, 1, 2)","(4, 4, 5)",0.8888888888888888,0.0,0.0,0.655555556,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""pulsing""}']","['{""property"": ""pumping""}']","['{""property"": ""solid""}']",{'property': 'pulsing'},pulsing,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'pumping'},pumping,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'solid'},solid,0.0,0.0,1.0,1.0,1.0
"Sometimes I think the trouble with that woman is that she's formed an appetite for borrowing, just like an appetite for drugs, you know.",an appetite for drugs,appetite,drugs,desire for food,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.3333333333333333,1.0,"['{""property"": ""addictive""}']","['{""property"": ""addictive""}']","['{""property"": ""hunger""}']",{'property': 'addictive'},addictive,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.0,{'property': 'addictive'},addictive,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'hunger'},hunger,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
,a white fawn,fawn,white,brown,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(2, 3, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""spotted""}']","['```json\n{""property"": ""brown""}\n```']","['{""property"": ""brown""}']",{'property': 'spotted'},spotted,0.5555555555555556,1.0,0.0,1.0,0.4444444444444444,{'property': 'brown'},brown,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'brown'},brown,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
