sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,claude-3-5-sonnet-20241022_naive_0_generated_,claude-3-5-sonnet-20241022_naive_1_generated_,claude-3-5-sonnet-20241022_naive_2_generated_,claude-3-5-sonnet-20241022_naive_0_generated,claude-3-5-sonnet-20241022_naive_0_combination,claude-3-5-sonnet-20241022_naive_0_modifier,claude-3-5-sonnet-20241022_naive_0_combination_relevance,claude-3-5-sonnet-20241022_naive_0_modifier_relevance,claude-3-5-sonnet-20241022_naive_0_indiv_max,claude-3-5-sonnet-20241022_naive_0_emergence,claude-3-5-sonnet-20241022_naive_1_generated,claude-3-5-sonnet-20241022_naive_1_combination,claude-3-5-sonnet-20241022_naive_1_modifier,claude-3-5-sonnet-20241022_naive_1_combination_relevance,claude-3-5-sonnet-20241022_naive_1_modifier_relevance,claude-3-5-sonnet-20241022_naive_1_indiv_max,claude-3-5-sonnet-20241022_naive_1_emergence,claude-3-5-sonnet-20241022_naive_2_generated,claude-3-5-sonnet-20241022_naive_2_combination,claude-3-5-sonnet-20241022_naive_2_modifier,claude-3-5-sonnet-20241022_naive_2_combination_relevance,claude-3-5-sonnet-20241022_naive_2_modifier_relevance,claude-3-5-sonnet-20241022_naive_2_indiv_max,claude-3-5-sonnet-20241022_naive_2_emergence
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""old lettuce"", ""modifier"": ""old""}']","['{""combination"": ""old lettuce"", ""modifier"": ""old""}']","['{""combination"": ""old lettuce"", ""modifier"": ""old""}']","{'combination': 'old lettuce', 'modifier': 'old'}",old lettuce,old,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'old lettuce', 'modifier': 'old'}",old lettuce,old,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'old lettuce', 'modifier': 'old'}",old lettuce,old,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""lamp moth"", ""modifier"": ""lamp""}']","['{""combination"": ""neon moth"", ""modifier"": ""neon""}']","['{""combination"": ""silken moth"", ""modifier"": ""silken""}']","{'combination': 'lamp moth', 'modifier': 'lamp'}",lamp moth,lamp,0.7777777777777778,0.0,0.3333333333333333,0.4444444444444445,"{'combination': 'neon moth', 'modifier': 'neon'}",neon moth,neon,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'silken moth', 'modifier': 'silken'}",silken moth,silken,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""combination"": ""butterfly effect"", ""modifier"": ""butterfly""}']","['{""combination"": ""butterfly effect"", ""modifier"": ""butterfly""}']","['{""combination"": ""side effect"", ""modifier"": ""side""}']","{'combination': 'butterfly effect', 'modifier': 'butterfly'}",butterfly effect,butterfly,0.0,0.0,0.0,0.0,"{'combination': 'butterfly effect', 'modifier': 'butterfly'}",butterfly effect,butterfly,0.0,0.0,0.0,0.0,"{'combination': 'side effect', 'modifier': 'side'}",side effect,side,0.0,0.0,0.0,0.0
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""snow pillar"", ""modifier"": ""snow""}']","['{""combination"": ""paper pillar"", ""modifier"": ""paper""}']","['{""combination"": ""snow pillar"", ""modifier"": ""snow""}']","{'combination': 'snow pillar', 'modifier': 'snow'}",snow pillar,snow,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.11111111111111105,"{'combination': 'paper pillar', 'modifier': 'paper'}",paper pillar,paper,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'snow pillar', 'modifier': 'snow'}",snow pillar,snow,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.11111111111111105
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""military missionary"", ""modifier"": ""military""}']","['{""combination"": ""military missionary"", ""modifier"": ""military""}']","['{""combination"": ""military missionary"", ""modifier"": ""military""}']","{'combination': 'military missionary', 'modifier': 'military'}",military missionary,military,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'military missionary', 'modifier': 'military'}",military missionary,military,0.7777777777777778,1.0,1.0,0.0,"{'combination': 'military missionary', 'modifier': 'military'}",military missionary,military,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""cardboard castle"", ""modifier"": ""cardboard""}']","['{""combination"": ""sand castle"", ""modifier"": ""sand""}']","['{""combination"": ""cloud castle"", ""modifier"": ""cloud""}']","{'combination': 'cardboard castle', 'modifier': 'cardboard'}",cardboard castle,cardboard,0.5555555555555556,0.0,0.1111111111111111,0.4444444444444445,"{'combination': 'sand castle', 'modifier': 'sand'}",sand castle,sand,0.0,0.0,0.1111111111111111,0.0,"{'combination': 'cloud castle', 'modifier': 'cloud'}",cloud castle,cloud,1.0,0.0,0.1111111111111111,0.8888888888888888
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""floating island"", ""modifier"": ""floating""}']","{'combination': 'floating island', 'modifier': 'floating'}",floating island,float,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'floating island', 'modifier': 'floating'}",floating island,float,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'floating island', 'modifier': 'floating'}",floating island,float,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"actually , it 's kind of like the old days .",the old days,day,old,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""summer day"", ""modifier"": ""summer""}']","['{""combination"": ""summer day"", ""modifier"": ""summer""}']","['{""combination"": ""summer day"", ""modifier"": ""summer""}']","{'combination': 'summer day', 'modifier': 'summer'}",summer day,summer,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'summer day', 'modifier': 'summer'}",summer day,summer,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'summer day', 'modifier': 'summer'}",summer day,summer,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""white raven"", ""modifier"": ""white""}']","['{""combination"": ""white raven"", ""modifier"": ""white""}']","['{""combination"": ""albino raven"", ""modifier"": ""albino""}']","{'combination': 'white raven', 'modifier': 'white'}",white raven,white,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'white raven', 'modifier': 'white'}",white raven,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'albino raven', 'modifier': 'albino'}",albino raven,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
