sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-2024-12-17_naive_0_generated_,o1-2024-12-17_naive_1_generated_,o1-2024-12-17_naive_2_generated_,o1-2024-12-17_naive_0_generated,o1-2024-12-17_naive_0_property,o1-2024-12-17_naive_0_combination_relevance,o1-2024-12-17_naive_0_root_relevance,o1-2024-12-17_naive_0_modifier_relevance,o1-2024-12-17_naive_0_indiv_max,o1-2024-12-17_naive_0_emergence,o1-2024-12-17_naive_1_generated,o1-2024-12-17_naive_1_property,o1-2024-12-17_naive_1_combination_relevance,o1-2024-12-17_naive_1_root_relevance,o1-2024-12-17_naive_1_modifier_relevance,o1-2024-12-17_naive_1_indiv_max,o1-2024-12-17_naive_1_emergence,o1-2024-12-17_naive_2_generated,o1-2024-12-17_naive_2_property,o1-2024-12-17_naive_2_combination_relevance,o1-2024-12-17_naive_2_root_relevance,o1-2024-12-17_naive_2_modifier_relevance,o1-2024-12-17_naive_2_indiv_max,o1-2024-12-17_naive_2_emergence
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,strand,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(3, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""shipwrecked""}']","['{""property"": ""stranded""}']","['{""property"": ""marooned""}']",{'property': 'shipwrecked'},shipwrecked,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777777,{'property': 'stranded'},stranded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'marooned'},marooned,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""unappealing""}']","['{""property"": ""wilted""}']","['{""property"": ""wilted""}']",{'property': 'unappealing'},unappealing,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""fatal attraction""}']","['{""property"": ""fatal attraction""}']","['{""property"": ""self-destructive fascination""}']",{'property': 'fatal attraction'},fatal attraction,0.8888888888888888,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.11111111111111105,{'property': 'fatal attraction'},fatal attraction,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'self-destructive fascination'},self-destructive fascination,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.11111111111111105
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']",{'property': 'paradoxical'},paradoxical,1.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444444,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
"The letter may have the germ of life in it, but it has no breath of spring to evoke it winter seeds they are, as hard as the winter's soil, as icy as the winter's air, no thawing nor germinating by them.",the winter's soil,soil,winter,lifeless,emergent,"(component, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(4, 4, 4)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""slumbering""}']","['{""property"": ""impenetrable""}']","['{""property"": ""impenetrable""}']",{'property': 'slumbering'},slumbering,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'impenetrable'},impenetrable,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'impenetrable'},impenetrable,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""bicycle-riding""}']","['{""property"": ""companion-based""}']","['{""property"": ""recognizably_uniform""}']",{'property': 'bicycle-riding'},bicycle-riding,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'companion-based'},companion-based,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'recognizably_uniform'},recognizably_uniform,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.33333333333333337
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""unrealistic""}']","['{""property"": ""unrealistic""}']","['{""property"": ""unrealistic""}']",{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
"In strict accordance with the traditions of the navy, he wore kid gloves, without which a naval officer, on a ceremonial occasion, would be as incomplete as a ship without a rudder.",a ship without a rudder,ship,rudder,directionless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(4, 1, 1)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""adrift""}']","['{""property"": ""vulnerable""}']","['{""property"": ""vulnerable""}']",{'property': 'adrift'},adrift,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'vulnerable'},vulnerable,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'vulnerable'},vulnerable,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222
"Bertha ate sparingly, for her heart was as swollen as a sponge in water.",a sponge in water,sponge,water,swollen,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""swollen""}']","['{""property"": ""soggy""}']","['{""property"": ""swollen""}']",{'property': 'swollen'},swollen,0.7777777777777778,0.3333333333333333,0.0,0.3333333333333333,0.4444444444444445,{'property': 'soggy'},soggy,1.0,0.3333333333333333,1.0,1.0,0.0,{'property': 'swollen'},swollen,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
"Knowing that only one side of the Boonesborough palisade had been completed, and that the warparty was five times as strong as the population of the hamlet, he thought to delay operations by strategy.",the population of the hamlet,population,hamlet,limit,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 4, 3)","(3, 5, 3)",0.0,0.3333333333333333,0.5555555555555556,0.0,False,0.5555555555555556,"['{""property"": ""tight-knit""}']","['{""property"": ""close-knit""}']","['{""property"": ""intimate social fabric""}']",{'property': 'tight-knit'},tight-knit,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'close-knit'},close-knit,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,{'property': 'intimate social fabric'},intimate social fabric,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445
