combination,property,human_label_majority,gpt-4o_generated_
a bucket of piss,useless,emergent,"['{""property_type"": ""emergent""}']"
a washed blackboard,blank,emergent,"['{""property_type"": ""emergent""}']"
the drone of the hive,sacrificial,emergent,"['{""property_type"": ""emergent""}']"
a voice from the grave,otherworldly,emergent,"['{""property_type"": ""emergent""}']"
molehills in a meadow,numerous,emergent,"['{""property_type"": ""emergent""}']"
one great family,united,emergent,"['{""property_type"": ""emergent""}']"
the wheat and the tares,intertwine,emergent,"['{""property_type"": ""emergent""}']"
stones through the windscreen,destructive,emergent,"['{""property_type"": ""emergent""}']"
a wedge in a log,firmly stuck,emergent,"['{""property_type"": ""emergent""}']"
the odour of fish,unpleasant,emergent,"['{""property_type"": ""emergent""}']"
a ball down the hill,unstoppable,emergent,"['{""property_type"": ""emergent""}']"
an apartment inside a mountain,unconventional,emergent,"['{""property_type"": ""emergent""}']"
a used glove,discard,emergent,"['{""property_type"": ""emergent""}']"
an online bully,cowardly,emergent,"['{""property_type"": ""emergent""}']"
a ladys voice,soothe,emergent,"['{""property_type"": ""emergent""}']"
the watered lemonade,dilute,emergent,"['{""property_type"": ""emergent""}']"
the old days,idealize,emergent,"['{""property_type"": ""emergent""}']"
a poof skirt,voluminous,emergent,"['{""property_type"": ""emergent""}']"
men in books,fictional,emergent,"['{""property_type"": ""emergent""}']"
a man in a fit,agitate,emergent,"['{""property_type"": ""emergent""}']"
primary season,intense campaigning,emergent,"['{""property_type"": ""emergent""}']"
a sinking vessel,precarious,emergent,"['{""property_type"": ""emergent""}']"
a fire cracker,explosive,emergent,"['{""property_type"": ""component""}']"
a schoolboy at the fair,excite,emergent,"['{""property_type"": ""emergent""}']"
a crows nest,dishevel,emergent,"['{""property_type"": ""emergent""}']"
the waiters whatever quinn was up to,unaware,emergent,"['{""property_type"": ""emergent""}']"
drawing straws,arbitrary,emergent,"['{""property_type"": ""emergent""}']"
a greasy river,polluted,emergent,"['{""property_type"": ""emergent""}']"
a needle in the haystack,difficult,emergent,"['{""property_type"": ""emergent""}']"
a pub without beer,uninvite,emergent,"['{""property_type"": ""emergent""}']"
a thief in the night,sudden,emergent,"['{""property_type"": ""emergent""}']"
a bunny on fire,frantic,emergent,"['{""property_type"": ""emergent""}']"
a scene out of Jaws,suspenseful,emergent,"['{""property_type"": ""emergent""}']"
a stuffed turkey,immobile,emergent,"['{""property_type"": ""emergent""}']"
burnt insulation,offensive,emergent,"['{""property_type"": ""emergent""}']"
pee on khakis,embarrass,emergent,"['{""property_type"": ""emergent""}']"
a frog behind a rock,hide,emergent,"['{""property_type"": ""emergent""}']"
pork for muslim,prohibit,emergent,"['{""property_type"": ""emergent""}']"
the spaghetti tree,bizarre,emergent,"['{""property_type"": ""others""}']"
nails on a blackboard,grating,emergent,"['{""property_type"": ""emergent""}']"
the bed on the train,narrow,emergent,"['{""property_type"": ""emergent""}']"
a conflict of interest,unethical,emergent,"['{""property_type"": ""emergent""}']"
a boiled egg,unremarkable,emergent,"['{""property_type"": ""others""}']"
southerners in the snow,unfamiliar,emergent,"['{""property_type"": ""emergent""}']"
a steamer without coal,ineffective,emergent,"['{""property_type"": ""emergent""}']"
the face of the dead,unnerve,emergent,"['{""property_type"": ""emergent""}']"
a pig in a petticoat,ridiculous,emergent,"['{""property_type"": ""emergent""}']"
a life without happiness,unfulfilled,emergent,"['{""property_type"": ""emergent""}']"
a distant bell,quiet,emergent,"['{""property_type"": ""emergent""}']"
grass at dawn,dewy,emergent,"['{""property_type"": ""emergent""}']"
an oak and a lily,different,emergent,"['{""property_type"": ""emergent""}']"
the heat of the sun,palpably,emergent,"['{""property_type"": ""emergent""}']"
a pride of lions,community,emergent,"['{""property_type"": ""emergent""}']"
a leg of ham,sizeable,emergent,"['{""property_type"": ""component""}']"
a man possessed,frantic,emergent,"['{""property_type"": ""emergent""}']"
the photo on the box,idealize,emergent,"['{""property_type"": ""emergent""}']"
controls with no worms,uninfected,emergent,"['{""property_type"": ""emergent""}']"
a puppy on a leash,obedient,emergent,"['{""property_type"": ""emergent""}']"
a sinner under conviction,remorseful,emergent,"['{""property_type"": ""emergent""}']"
puppies and wolves,contrast,emergent,"['{""property_type"": ""emergent""}']"
an unhinged jaw,sudden,emergent,"['{""property_type"": ""emergent""}']"
used condoms,unpleasant,emergent,"['{""property_type"": ""emergent""}']"
the previous systems,obsolete,emergent,"['{""property_type"": ""emergent""}']"
the ones past prime,deteriorate,emergent,"['{""property_type"": ""emergent""}']"
a necklace upon the blind,meaningless,emergent,"['{""property_type"": ""emergent""}']"
the girl in the visions,ethereal,emergent,"['{""property_type"": ""emergent""}']"
a kick in the stones,painful,emergent,"['{""property_type"": ""emergent""}']"
a bat out of a sunrise,disappear,emergent,"['{""property_type"": ""canceled""}']"
the cherry on top,superfluous,emergent,"['{""property_type"": ""emergent""}']"
a fistful of sand,unreliable,emergent,"['{""property_type"": ""emergent""}']"
the smell of bacon,intoxicate,emergent,"['{""property_type"": ""emergent""}']"
a mare in heat,restless,emergent,"['{""property_type"": ""emergent""}']"
a bad selfie,unfocused,emergent,"['{""property_type"": ""emergent""}']"
the snap of bullets,loud,emergent,"['{""property_type"": ""emergent""}']"
the famous N word,offensive,emergent,"['{""property_type"": ""emergent""}']"
a wounded animal,struggle,emergent,"['{""property_type"": ""emergent""}']"
the wolf to the lapdog,dissimilar,emergent,"['{""property_type"": ""emergent""}']"
the crooning of fools,worthless,emergent,"['{""property_type"": ""emergent""}']"
a church on a weekday,empty,emergent,"['{""property_type"": ""emergent""}']"
three wet days,gloomy,emergent,"['{""property_type"": ""emergent""}']"
four characters per minute,slow,emergent,"['{""property_type"": ""emergent""}']"
long sermons,tedious,emergent,"['{""property_type"": ""emergent""}']"
the elephant on the table,undiscussed,emergent,"['{""property_type"": ""emergent""}']"
bees to blossoms,draw,emergent,"['{""property_type"": ""emergent""}']"
uncooked pasta,brittle,emergent,"['{""property_type"": ""component""}']"
a wrecking ball,forceful,emergent,"['{""property_type"": ""emergent""}']"
a fifth leg,unnecessary,emergent,"['{""property_type"": ""emergent""}']"
a reprimanded child,submissive,emergent,"['{""property_type"": ""emergent""}']"
a woman without sin,idealize,emergent,"['{""property_type"": ""emergent""}']"
a hole in the head,life,emergent,"['{""property_type"": ""canceled""}']"
a recitation of the alphabet,monotonous,emergent,"['{""property_type"": ""emergent""}']"
the moral law,universal,emergent,"['{""property_type"": ""emergent""}']"
oil and water,disparate,emergent,"['{""property_type"": ""emergent""}']"
a vampire movie,bloodthirsty,emergent,"['{""property_type"": ""emergent""}']"
a burnt out lightbulb,not bright,emergent,"['{""property_type"": ""emergent""}']"
a gated community,secure,emergent,"['{""property_type"": ""emergent""}']"
