sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,claude-3-5-sonnet-20241022_naive_0_generated_,claude-3-5-sonnet-20241022_naive_1_generated_,claude-3-5-sonnet-20241022_naive_2_generated_,claude-3-5-sonnet-20241022_naive_0_generated,claude-3-5-sonnet-20241022_naive_0_property,claude-3-5-sonnet-20241022_naive_0_combination_relevance,claude-3-5-sonnet-20241022_naive_0_root_relevance,claude-3-5-sonnet-20241022_naive_0_modifier_relevance,claude-3-5-sonnet-20241022_naive_0_indiv_max,claude-3-5-sonnet-20241022_naive_0_cancellation,claude-3-5-sonnet-20241022_naive_1_generated,claude-3-5-sonnet-20241022_naive_1_property,claude-3-5-sonnet-20241022_naive_1_combination_relevance,claude-3-5-sonnet-20241022_naive_1_root_relevance,claude-3-5-sonnet-20241022_naive_1_modifier_relevance,claude-3-5-sonnet-20241022_naive_1_indiv_max,claude-3-5-sonnet-20241022_naive_1_cancellation,claude-3-5-sonnet-20241022_naive_2_generated,claude-3-5-sonnet-20241022_naive_2_property,claude-3-5-sonnet-20241022_naive_2_combination_relevance,claude-3-5-sonnet-20241022_naive_2_root_relevance,claude-3-5-sonnet-20241022_naive_2_modifier_relevance,claude-3-5-sonnet-20241022_naive_2_indiv_max,claude-3-5-sonnet-20241022_naive_2_cancellation
,an orchard without fruit,orchard,fruit,harvest season,canceled,"(canceled, canceled, canceled)","(2, 1, 2)","(5, 3, 5)","(5, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""fruitful""}']","['{""property"": ""productive""}']","['{""property"": ""productive""}']",{'property': 'fruitful'},fruitful,0.0,0.7777777777777778,1.0,1.0,1.0,{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778
The romantic part of his life was as dead as the foliage in winter.,the foliage in winter,foliage,winter,photosynthetic,canceled,"(canceled, canceled, canceled)","(2, 3, 2)","(5, 5, 4)","(2, 1, 1)",0.8888888888888888,0.1111111111111111,1.0,,False,0.0,1.0,"['{""property"": ""green""}']","['{""property"": ""green""}']","['{""property"": ""green""}']",{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'green'},green,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"The fight against piracy is as stupid as the fight against narcotics, no wait, excuse me, the war against narcotics, i guess ya can put another loss on your war talley.",the fight against narcotics,fight,narcotic,narcotic,canceled,"(others, canceled, canceled)","(1, 5, 4)","(1, 2, 2)","(5, 5, 5)",1.0,0.0,0.0,1.0,False,1.0,1.0,"['{""property"": ""peaceful""}']","['{""property"": ""addictive""}']","['{""property"": ""illegal""}']",{'property': 'peaceful'},peaceful,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,{'property': 'addictive'},addictive,0.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'illegal'},illegal,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.3333333333333333
"They had all glinted together in the sunshine, wheeling together, sinking together, rising together like an army of fairies.",an army of fairies,army,fairies,disciplined,canceled,"(canceled, canceled, others)","(2, 3, 3)","(5, 5, 5)","(1, 1, 2)",0.6666666666666666,0.2222222222222222,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""intimidating""}']","['{""property"": ""intimidating""}']","['{""property"": ""intimidating""}']",{'property': 'intimidating'},intimidating,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.5555555555555556,{'property': 'intimidating'},intimidating,0.2222222222222222,0.7777777777777778,0.0,0.7777777777777778,0.5555555555555556,{'property': 'intimidating'},intimidating,0.2222222222222222,0.7777777777777778,0.0,0.7777777777777778,0.5555555555555556
"great , he 'd seen me tear into here like a bunny on fire . ",a bunny on fire,bunny,fire,fluffy,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""fluffy""}']","['{""property"": ""cuddly""}']","['{""property"": ""fluffy""}']",{'property': 'fluffy'},fluffy,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'cuddly'},cuddly,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'fluffy'},fluffy,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"rage shot through me , but it was as explosive as a wet fuse .",a wet fuse,fuse,wet,flammable,canceled,"(component, canceled, canceled)","(2, 2, 2)","(3, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""functional""}']","['{""property"": ""conductive""}']","['{""property"": ""functional""}']",{'property': 'functional'},functional,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'conductive'},conductive,0.1111111111111111,1.0,0.5555555555555556,1.0,0.8888888888888888,{'property': 'functional'},functional,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
But I know nothing about motorcycles so my opinion is probably as useful as a gun with zero bullets.,a gun with zero bullets,gun,bullet,lethal,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(5, 5, 5)",0.8888888888888888,0.0,0.8888888888888888,0.833333333,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""lethal""}']","['{""property"": ""dangerous""}']","['{""property"": ""lethal""}']",{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'dangerous'},dangerous,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
the sap ran from the scalding hole and dripped steadily like blood onto the ground .,blood onto the ground,blood,ground,solid,canceled,"(canceled, canceled, canceled)","(1, 1, 3)","(1, 1, 2)","(4, 4, 5)",0.8888888888888888,0.0,0.0,0.655555556,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""circulating""}']","['{""property"": ""flowing within blood vessels""}']","['{""property"": ""flowing through veins""}']",{'property': 'circulating'},circulating,0.0,1.0,0.0,1.0,1.0,{'property': 'flowing within blood vessels'},flowing within blood vessels,0.0,1.0,0.0,1.0,1.0,{'property': 'flowing through veins'},flowing through veins,0.0,1.0,0.0,1.0,1.0
"Sometimes I think the trouble with that woman is that she's formed an appetite for borrowing, just like an appetite for drugs, you know.",an appetite for drugs,appetite,drugs,desire for food,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.3333333333333333,1.0,"['{""property"": ""healthy""}']","['{""property"": ""healthy""}']","['{""property"": ""healthy""}']",{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
,a white fawn,fawn,white,brown,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(2, 3, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""spotted""}']","['{""property"": ""brownish""}']","['{""property"": ""spotted""}']",{'property': 'spotted'},spotted,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'brownish'},brownish,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'spotted'},spotted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.0
