sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_generated_,Meta-Llama-3.1-70B-Instruct_naive_1_generated_,Meta-Llama-3.1-70B-Instruct_naive_2_generated_,Meta-Llama-3.1-70B-Instruct_naive_0_generated,Meta-Llama-3.1-70B-Instruct_naive_0_property,Meta-Llama-3.1-70B-Instruct_naive_0_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_cancellation,Meta-Llama-3.1-70B-Instruct_naive_1_generated,Meta-Llama-3.1-70B-Instruct_naive_1_property,Meta-Llama-3.1-70B-Instruct_naive_1_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_1_cancellation,Meta-Llama-3.1-70B-Instruct_naive_2_generated,Meta-Llama-3.1-70B-Instruct_naive_2_property,Meta-Llama-3.1-70B-Instruct_naive_2_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_2_cancellation
,an orchard without fruit,orchard,fruit,harvest season,canceled,"(canceled, canceled, canceled)","(2, 1, 2)","(5, 3, 5)","(5, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""productive""}']","['{""property"": ""productive""}']","['{""property"": ""fruitful""}']",{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,{'property': 'fruitful'},fruitful,0.0,0.7777777777777778,1.0,1.0,1.0
The romantic part of his life was as dead as the foliage in winter.,the foliage in winter,foliage,winter,photosynthetic,canceled,"(canceled, canceled, canceled)","(2, 3, 2)","(5, 5, 4)","(2, 1, 1)",0.8888888888888888,0.1111111111111111,1.0,,False,0.0,1.0,"['{""property"": ""lush""}']","['{""property"": ""lush""}']","['{""property"": ""lush""}']",{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
"The fight against piracy is as stupid as the fight against narcotics, no wait, excuse me, the war against narcotics, i guess ya can put another loss on your war talley.",the fight against narcotics,fight,narcotic,narcotic,canceled,"(others, canceled, canceled)","(1, 5, 4)","(1, 2, 2)","(5, 5, 5)",1.0,0.0,0.0,1.0,False,1.0,1.0,"['{""property"": ""recreational""}']","['{""property"": ""profitable""}']","['{""property"": ""recreational""}']",{'property': 'recreational'},recreational,0.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,{'property': 'profitable'},profitable,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,{'property': 'recreational'},recreational,0.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666
"They had all glinted together in the sunshine, wheeling together, sinking together, rising together like an army of fairies.",an army of fairies,army,fairies,disciplined,canceled,"(canceled, canceled, others)","(2, 3, 3)","(5, 5, 5)","(1, 1, 2)",0.6666666666666666,0.2222222222222222,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""peaceful""}']","['{""property"": ""intimidating""}']","['{""property"": ""peaceful""}']",{'property': 'peaceful'},peaceful,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333,{'property': 'intimidating'},intimidating,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.5555555555555556,{'property': 'peaceful'},peaceful,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.3333333333333333
"great , he 'd seen me tear into here like a bunny on fire . ",a bunny on fire,bunny,fire,fluffy,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""cute""}']","['{""property"": ""cuddly""}']","['{""property"": ""cute""}']",{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'cuddly'},cuddly,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"rage shot through me , but it was as explosive as a wet fuse .",a wet fuse,fuse,wet,flammable,canceled,"(component, canceled, canceled)","(2, 2, 2)","(3, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""flammable""}']","['{""property"": ""functional""}']","['{""property"": ""flammable""}']",{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'functional'},functional,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
But I know nothing about motorcycles so my opinion is probably as useful as a gun with zero bullets.,a gun with zero bullets,gun,bullet,lethal,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(5, 5, 5)",0.8888888888888888,0.0,0.8888888888888888,0.833333333,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""lethal""}']","['{""property"": ""lethal""}']","['{""property"": ""lethal""}']",{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
the sap ran from the scalding hole and dripped steadily like blood onto the ground .,blood onto the ground,blood,ground,solid,canceled,"(canceled, canceled, canceled)","(1, 1, 3)","(1, 1, 2)","(4, 4, 5)",0.8888888888888888,0.0,0.0,0.655555556,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""sterile""}']","['{""property"": ""pure""}']","['{""property"": ""sterile""}']",{'property': 'sterile'},sterile,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'pure'},pure,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'sterile'},sterile,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
"Sometimes I think the trouble with that woman is that she's formed an appetite for borrowing, just like an appetite for drugs, you know.",an appetite for drugs,appetite,drugs,desire for food,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.3333333333333333,1.0,"['{""property"": ""healthy""}']","['{""property"": ""healthy""}']","['{""property"": ""healthy""}']",{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
,a white fawn,fawn,white,brown,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(2, 3, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""elusive""}']","['{""property"": ""camouflaged""}']","['{""property"": ""common""}']",{'property': 'elusive'},elusive,0.5555555555555556,0.6666666666666666,0.0,0.6666666666666666,0.11111111111111105,{'property': 'camouflaged'},camouflaged,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.5555555555555556,{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667
"Then like cats on a mouse, they pounced.",cats on a mouse,cat,mouse,functional,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(1, 2, 1)","(1, 2, 1)",0.0,0.7777777777777778,0.5555555555555556,0.822222222,False,0.7777777777777778,0.7777777777777778,"['{""property"": ""intimidating""}']","['{""property"": ""independent""}']","['{""property"": ""fearsome""}']",{'property': 'intimidating'},intimidating,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0,{'property': 'independent'},independent,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,{'property': 'fearsome'},fearsome,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0
Theyre out there walking up and down like two wooden men but they didnt see me get by.,two wooden men,men,wooden,mammalian,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""biological""}']","['{""property"": ""animate""}']","['{""property"": ""living""}']",{'property': 'biological'},biological,0.0,1.0,0.5555555555555556,1.0,1.0,{'property': 'animate'},animate,0.0,1.0,0.0,1.0,1.0,{'property': 'living'},living,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"this fox and hound game would be a joke , it was more like the eagle and the worm , cowardly and woefully one sided .",the eagle and the worm,eagle,worm,high,canceled,"(canceled, canceled, canceled)","(2, 2, 3)","(5, 5, 5)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,0.0,False,0.0,0.7777777777777778,"['{""property"": ""formidable""}']","['{""property"": ""feared""}']","['{""property"": ""formidable""}']",{'property': 'formidable'},formidable,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445,{'property': 'feared'},feared,0.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.5555555555555556,{'property': 'formidable'},formidable,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445
"and a strong shudder took possession of him, as uncontrollable as an ague fit.",an ague fit,fit,ague,well,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(4, 4, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""contagious""}']","['{""property"": ""infectious""}']","['{""property"": ""intentional""}']",{'property': 'contagious'},contagious,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'infectious'},infectious,0.3333333333333333,0.0,0.5555555555555556,0.5555555555555556,0.22222222222222227,{'property': 'intentional'},intentional,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,black,canceled,"(canceled, canceled, canceled)","(2, 1, 1)","(5, 5, 5)","(1, 2, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""black""}']","['{""property"": ""black""}']","['{""property"": ""black""}']",{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"I personally felt the last season was kinda weird the season finale the year before fore wrapped up everything nicely, the last season felt kinda like a weird epilogue.",a weird epilogue,epilogue,weird,conclusive,canceled,"(canceled, component, canceled)","(2, 4, 2)","(5, 5, 5)","(1, 1, 1)",0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""predictable""}']","['{""property"": ""predictable""}']","['{""property"": ""expected""}']",{'property': 'predictable'},predictable,0.2222222222222222,0.5555555555555556,0.0,0.5555555555555556,0.33333333333333337,{'property': 'predictable'},predictable,0.1111111111111111,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444445,{'property': 'expected'},expected,0.1111111111111111,0.7777777777777778,0.0,0.7777777777777778,0.6666666666666667
,non theists,theist,non,belief in god,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(2, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""spiritual""}']","['{""property"": ""theistic""}']","['{""property"": ""religious""}']",{'property': 'spiritual'},spiritual,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445,{'property': 'theistic'},theistic,0.0,1.0,1.0,1.0,1.0,{'property': 'religious'},religious,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
