sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_multi_0_generated_,Meta-Llama-3.1-70B-Instruct_multi_1_generated_,Meta-Llama-3.1-70B-Instruct_multi_2_generated_
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}']","['{""combination"": ""week-old lettuce"", ""modifier"": ""week-old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""week-old lettuce"", ""modifier"": ""week-old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}']","['{""combination"": ""week-old lettuce"", ""modifier"": ""week-old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}', '{""combination"": ""old lettuce"", ""modifier"": ""old""}']"
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""attractive moth"", ""modifier"": ""attractive""}', '{""combination"": ""tiny moth"", ""modifier"": ""tiny""}']","['{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""cute moth"", ""modifier"": ""cute""}', '{""combination"": ""giant moth"", ""modifier"": ""giant""}', '{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""charming moth"", ""modifier"": ""charming""}']","['{""combination"": ""charming moth"", ""modifier"": ""charming""}', '{""combination"": ""charming moth"", ""modifier"": ""charming""}', '{""combination"": ""beautiful moth"", ""modifier"": ""beautiful""}', '{""combination"": ""attractive moth"", ""modifier"": ""attractive""}', '{""combination"": ""attractive moth"", ""modifier"": ""attractive""}']"
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}']","['{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""no effect"", ""modifier"": ""no""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}']","['{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""side effect"", ""modifier"": ""side""}', '{""combination"": ""no effect"", ""modifier"": ""no""}', '{""combination"": ""side effect"", ""modifier"": ""side""}']"
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""cardboard pillar"", ""modifier"": ""cardboard""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}', '{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']"
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""former council"", ""modifier"": ""former""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""former council"", ""modifier"": ""former""}']","['{""combination"": ""former council"", ""modifier"": ""former""}', '{""combination"": ""dissolved council"", ""modifier"": ""dissolved""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""dysfunctional council"", ""modifier"": ""dysfunctional""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}']","['{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}', '{""combination"": ""dissolved council"", ""modifier"": ""dissolved""}', '{""combination"": ""former council"", ""modifier"": ""former""}', '{""combination"": ""defunct council"", ""modifier"": ""defunct""}']"
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""uniformed missionary"", ""modifier"": ""uniformed""}', '{""combination"": ""police missionary"", ""modifier"": ""police""}', '{""combination"": ""uniformed missionary"", is not correct as it uses the emergent property itself} \n{""combination"": ""army missionary"", ""modifier"": ""army""}', '{""combination"": ""Jesuit missionary"", ""modifier"": ""Jesuit""}', '{""combination"": ""uniformed missionary"", ""modifier"": ""uniformed""}']","['{""combination"": ""Nun missionary"", ""modifier"": ""Nun""}', '{""combination"": ""uniformed missionary"", is not correct since it is a redundant combination.}\n{""combination"": ""military missionary"", ""modifier"": ""military""}', '{""combination"": ""clergy missionary"", ""modifier"": ""clergy""}', '{""combination"": ""uniformed missionary"", is not a valid answer as the word ""uniformed"" already possess the emergent property.}\n{""combination"": ""nurse missionary"", ""modifier"": ""nurse""}', '{""combination"": ""uniformed missionary"", is not correct, ""uniformed"" has the property ""uniformed"".}\n{""combination"": ""military missionary"", ""modifier"": ""military""}']","['{""combination"": ""uniformed missionary"", is not correct because ""uniformed"" has emergent property in itself.}\n \n{""combination"": ""Jesuit missionary"", is not correct because ""Jesuit"" is more specific but doesn\'t imply ""uniformed""}\n \n {""combination"": ""military missionary"", ""modifier"": ""military""}', '{""combination"": ""Jesuit missionary"", ""modifier"": ""Jesuit""}', '{""combination"": ""dressed missionary"", ""modifier"": ""dressed""}', '{""combination"": ""uninformed missionary"", ""modifier"": ""uninformed""}', '{""combination"": ""Jesuit missionary"", ""modifier"": ""Jesuit""}']"
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""fantasy castle"", ""modifier"": ""fantasy""}', '{""combination"": ""fairy-tale castle"", ""modifier"": ""fairy-tale""}', '{""combination"": ""mythical castle"", ""modifier"": ""mythical""}', '{""combination"": ""fairytale castle"", ""modifier"": ""fairytale""}', '{""combination"": ""fairytale castle"", ""modifier"": ""fairytale""}']","['{""combination"": ""mythical castle"", ""modifier"": ""mythical""}', '{""combination"": ""mythical castle"", ""modifier"": ""mythical""}', '{""combination"": ""fantasy castle"", ""modifier"": ""fantasy""}', '{""combination"": ""fantasy castle"", ""modifier"": ""fantasy""}', '{""combination"": ""Disney castle"", ""modifier"": ""Disney""}']","['{""combination"": ""fairytale castle"", ""modifier"": ""fairytale""}', '{""combination"": ""virtual castle"", ""modifier"": ""virtual""}', '{""combination"": ""Disney castle"", ""modifier"": ""Disney""}', '{""combination"": ""fairy-tale castle"", ""modifier"": ""fairy-tale""}', '{""combination"": ""fairytale castle"", ""modifier"": ""fairytale""}']"
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""tall island"", ""modifier"": ""tall""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""tall island"", ""modifier"": ""tall""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""volcanic island"", ""modifier"": ""volcanic""}', '{""combination"": ""tall island"", ""modifier"": ""tall""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}', '{""combination"": ""floating island"", ""modifier"": ""floating""}']"
"actually , it 's kind of like the old days .",the old days,day,old,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}', '{""combination"": ""perfect day"", ""modifier"": ""perfect""}']"
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""white raven"", ""modifier"": ""white""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""white raven"", ""modifier"": ""white""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}']","['{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""white raven"", ""modifier"": ""white""}']","['{""combination"": ""white raven"", ""modifier"": ""white""}', '{""combination"": ""white raven"", ""modifier"": ""white""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}', '{""combination"": ""white raven"", ""modifier"": ""white""}', '{""combination"": ""albino raven"", ""modifier"": ""albino""}']"
