sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_0_generated_,Meta-Llama-3.1-70B-Instruct_cot_1_generated_,Meta-Llama-3.1-70B-Instruct_cot_2_generated_,Meta-Llama-3.1-70B-Instruct_cot_0_generated,Meta-Llama-3.1-70B-Instruct_cot_0_property,Meta-Llama-3.1-70B-Instruct_cot_0_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_0_cancellation,Meta-Llama-3.1-70B-Instruct_cot_1_generated,Meta-Llama-3.1-70B-Instruct_cot_1_property,Meta-Llama-3.1-70B-Instruct_cot_1_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_1_cancellation,Meta-Llama-3.1-70B-Instruct_cot_2_generated,Meta-Llama-3.1-70B-Instruct_cot_2_property,Meta-Llama-3.1-70B-Instruct_cot_2_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_2_cancellation
,an orchard without fruit,orchard,fruit,harvest season,canceled,"(canceled, canceled, canceled)","(2, 1, 2)","(5, 3, 5)","(5, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""fruitful""}']","['{""property"": ""fruitful""}']","['{""property"": ""fruitful""}']",{'property': 'fruitful'},fruitful,0.0,0.7777777777777778,1.0,1.0,1.0,{'property': 'fruitful'},fruitful,0.0,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'fruitful'},fruitful,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778
The romantic part of his life was as dead as the foliage in winter.,the foliage in winter,foliage,winter,photosynthetic,canceled,"(canceled, canceled, canceled)","(2, 3, 2)","(5, 5, 4)","(2, 1, 1)",0.8888888888888888,0.1111111111111111,1.0,,False,0.0,1.0,"['{""property"": ""lush""}']","['{""property"": ""lush""}']","['{""property"": ""lush""}']",{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
"The fight against piracy is as stupid as the fight against narcotics, no wait, excuse me, the war against narcotics, i guess ya can put another loss on your war talley.",the fight against narcotics,fight,narcotic,narcotic,canceled,"(others, canceled, canceled)","(1, 5, 4)","(1, 2, 2)","(5, 5, 5)",1.0,0.0,0.0,1.0,False,1.0,1.0,"['{""property"": ""recreational""}']","['{""property"": ""recreational""}']","['{""property"": ""entertaining""}']",{'property': 'recreational'},recreational,0.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,{'property': 'recreational'},recreational,0.0,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,{'property': 'entertaining'},entertaining,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.4444444444444445
"They had all glinted together in the sunshine, wheeling together, sinking together, rising together like an army of fairies.",an army of fairies,army,fairies,disciplined,canceled,"(canceled, canceled, others)","(2, 3, 3)","(5, 5, 5)","(1, 1, 2)",0.6666666666666666,0.2222222222222222,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""mortal""}']","['{""property"": ""peaceful""}']","['{""property"": ""lethal""}']",{'property': 'mortal'},mortal,0.3333333333333333,0.8888888888888888,0.0,0.8888888888888888,0.5555555555555556,{'property': 'peaceful'},peaceful,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,{'property': 'lethal'},lethal,0.3333333333333333,0.8888888888888888,0.0,0.8888888888888888,0.5555555555555556
"great , he 'd seen me tear into here like a bunny on fire . ",a bunny on fire,bunny,fire,fluffy,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""cuddly""}']","['{""property"": ""cuddly""}']","['{""property"": ""cuddly""}']",{'property': 'cuddly'},cuddly,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'cuddly'},cuddly,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'cuddly'},cuddly,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
"rage shot through me , but it was as explosive as a wet fuse .",a wet fuse,fuse,wet,flammable,canceled,"(component, canceled, canceled)","(2, 2, 2)","(3, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""flammable""}']","['{""property"": ""flammable""}']","['{""property"": ""flammable""}']",{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'flammable'},flammable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
But I know nothing about motorcycles so my opinion is probably as useful as a gun with zero bullets.,a gun with zero bullets,gun,bullet,lethal,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(5, 5, 5)",0.8888888888888888,0.0,0.8888888888888888,0.833333333,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""lethal""}']","['{""property"": ""lethal""}']","['{""property"": ""lethal""}']",{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
the sap ran from the scalding hole and dripped steadily like blood onto the ground .,blood onto the ground,blood,ground,solid,canceled,"(canceled, canceled, canceled)","(1, 1, 3)","(1, 1, 2)","(4, 4, 5)",0.8888888888888888,0.0,0.0,0.655555556,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""drinkable""}']","['{""property"": ""sterile""}']","['{""property"": ""drinking""}']",{'property': 'drinkable'},drinkable,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,{'property': 'sterile'},sterile,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'drinking'},drinking,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
"Sometimes I think the trouble with that woman is that she's formed an appetite for borrowing, just like an appetite for drugs, you know.",an appetite for drugs,appetite,drugs,desire for food,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.3333333333333333,1.0,"['{""property"": ""healthy""}']","['{""property"": ""natural""}']","['{""property"": ""natural""}']",{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'natural'},natural,0.0,1.0,0.2222222222222222,1.0,1.0,{'property': 'natural'},natural,0.0,1.0,0.3333333333333333,1.0,1.0
,a white fawn,fawn,white,brown,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(2, 3, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""common""}']","['{""property"": ""common""}']","['{""property"": ""common""}']",{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667,{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667,{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444445
