sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_generated_,Meta-Llama-3.1-70B-Instruct_naive_1_generated_,Meta-Llama-3.1-70B-Instruct_naive_2_generated_,Meta-Llama-3.1-70B-Instruct_naive_0_generated,Meta-Llama-3.1-70B-Instruct_naive_0_combination,Meta-Llama-3.1-70B-Instruct_naive_0_modifier,Meta-Llama-3.1-70B-Instruct_naive_0_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_emergence,Meta-Llama-3.1-70B-Instruct_naive_1_generated,Meta-Llama-3.1-70B-Instruct_naive_1_combination,Meta-Llama-3.1-70B-Instruct_naive_1_modifier,Meta-Llama-3.1-70B-Instruct_naive_1_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_1_emergence,Meta-Llama-3.1-70B-Instruct_naive_2_generated,Meta-Llama-3.1-70B-Instruct_naive_2_combination,Meta-Llama-3.1-70B-Instruct_naive_2_modifier,Meta-Llama-3.1-70B-Instruct_naive_2_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_2_emergence
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""day-old lettuce"", ""modifier"": ""day-old""}']","['{""combination"": ""old lettuce"", ""modifier"": ""old""}']","['{""combination"": ""old lettuce"", ""modifier"": ""old""}']","{'combination': 'day-old lettuce', 'modifier': 'day-old'}",day-old lettuce,day,0.3333333333333333,0.0,0.3333333333333333,0.0,"{'combination': 'old lettuce', 'modifier': 'old'}",old lettuce,old,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'old lettuce', 'modifier': 'old'}",old lettuce,old,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""attractive moth"", ""modifier"": ""attractive""}']","['{""combination"": ""rare moth"", ""modifier"": ""rare""}']","['{""combination"": ""giant moth"", ""modifier"": ""giant""}']","{'combination': 'attractive moth', 'modifier': 'attractive'}",attractive moth,attractive,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'rare moth', 'modifier': 'rare'}",rare moth,rare,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'giant moth', 'modifier': 'giant'}",giant moth,giant,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""combination"": ""side effect"", ""modifier"": ""side""}']","['{""combination"": ""side effect"", ""modifier"": ""side""}']","['{""combination"": ""side effect"", ""modifier"": ""side""}']","{'combination': 'side effect', 'modifier': 'side'}",side effect,side,0.0,0.0,0.0,0.0,"{'combination': 'side effect', 'modifier': 'side'}",side effect,side,0.0,0.0,0.0,0.0,"{'combination': 'side effect', 'modifier': 'side'}",side effect,side,0.0,0.0,0.0,0.0
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","{'combination': 'inflatable pillar', 'modifier': 'inflatable'}",inflatable pillar,inflatable,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'inflatable pillar', 'modifier': 'inflatable'}",inflatable pillar,inflatable,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'inflatable pillar', 'modifier': 'inflatable'}",inflatable pillar,inflatable,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""defunct council"", ""modifier"": ""defunct""}']","['{""combination"": ""defunct council"", ""modifier"": ""defunct""}']","['{""combination"": ""former council"", ""modifier"": ""former""}']","{'combination': 'defunct council', 'modifier': 'defunct'}",defunct council,defunct,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,"{'combination': 'defunct council', 'modifier': 'defunct'}",defunct council,defunct,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'former council', 'modifier': 'former'}",former council,former,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""dressed missionary"", ""modifier"": ""dressed""}']","['{""combination"": ""uniformed missionary"", is not correct because ""missionary"" doesn\'t possess ""uniformed"" but ""uniformed"" itself has ""uniformed"" property.}\n \n{""combination"": ""nuns missionary"", ""modifier"": ""nuns""}']","['{""combination"": ""uniformed missionary"", is not a good example. Here is an alternative.} \n\n{""combination"": ""cleric missionary"", ""modifier"": ""cleric""}']","{'combination': 'dressed missionary', 'modifier': 'dressed'}",dressed missionary,dress,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.4444444444444445,"{'combination': 'nuns missionary', 'modifier': 'nuns'}",nuns missionary,nun,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'cleric missionary', 'modifier': 'cleric'}",cleric missionary,cleric,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""Disney castle"", ""modifier"": ""Disney""}']","['{""combination"": ""fairy tale castle"", ""modifier"": ""fairy tale""}']","['{""combination"": ""fictional castle"", ""modifier"": ""fictional""}']","{'combination': 'disney castle', 'modifier': 'disney'}",disney castle,disney,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'fairy tale castle', 'modifier': 'fairy tale'}",fairy tale castle,fairy,0.8888888888888888,1.0,1.0,0.0,"{'combination': 'fictional castle', 'modifier': 'fictional'}",fictional castle,fictional,1.0,1.0,1.0,0.0
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""steep island"", ""modifier"": ""steep""}']","['{""combination"": ""high island"", ""modifier"": ""high""}']","{'combination': 'floating island', 'modifier': 'floating'}",floating island,float,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'steep island', 'modifier': 'steep'}",steep island,steep,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'high island', 'modifier': 'high'}",high island,high,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326
"actually , it 's kind of like the old days .",the old days,day,old,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","{'combination': 'perfect day', 'modifier': 'perfect'}",perfect day,perfect,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'perfect day', 'modifier': 'perfect'}",perfect day,perfect,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'perfect day', 'modifier': 'perfect'}",perfect day,perfect,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.0
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""albino raven"", ""modifier"": ""albino""}']","['{""combination"": ""albino raven"", ""modifier"": ""albino""}']","['{""combination"": ""albino raven"", ""modifier"": ""albino""}']","{'combination': 'albino raven', 'modifier': 'albino'}",albino raven,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'albino raven', 'modifier': 'albino'}",albino raven,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'albino raven', 'modifier': 'albino'}",albino raven,albino,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
"Many of these contain great quantities of fish, though, so far as the Great Lakes are concerned, the fish stories of the pioneers read now like idle tales but still the commercial fisheries of the province bring in over 2,333,000 480,000, and give employment to several thousand men.",idle tales,tale,idle,untruthful,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 3, 3)","(4, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""false tale"", ""modifier"": ""false""}']","['{""combination"": ""fictional tale"", ""modifier"": ""fictional""}']","['{""combination"": ""fictional tale"", ""modifier"": ""fictional""}']","{'combination': 'false tale', 'modifier': 'false'}",false tale,false,1.0,1.0,1.0,0.0,"{'combination': 'fictional tale', 'modifier': 'fictional'}",fictional tale,fictional,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'fictional tale', 'modifier': 'fictional'}",fictional tale,fictional,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""dead lizard"", ""modifier"": ""dead""}']","['{""combination"": ""frozen lizard"", ""modifier"": ""frozen""}']","['{""combination"": ""dead lizard"", ""modifier"": ""dead""}']","{'combination': 'dead lizard', 'modifier': 'dead'}",dead lizard,dead,1.0,1.0,1.0,0.0,"{'combination': 'frozen lizard', 'modifier': 'frozen'}",frozen lizard,frozen,1.0,1.0,1.0,0.0,"{'combination': 'dead lizard', 'modifier': 'dead'}",dead lizard,dead,1.0,1.0,1.0,0.0
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445
"Of course, the count is a serious matter gun for gun is diplomatically as important as an eye for an eye.",an eye for an eye,eye,eye,retributive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(2, 2, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""evil eye"", ""modifier"": ""evil""}']","['{""combination"": ""evil eye"", ""modifier"": ""evil""}']","['{""combination"": ""evil eye"", ""modifier"": ""evil""}']","{'combination': 'evil eye', 'modifier': 'evil'}",evil eye,evil,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'evil eye', 'modifier': 'evil'}",evil eye,evil,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'evil eye', 'modifier': 'evil'}",evil eye,evil,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""electric fire"", ""modifier"": ""electric""}']","['{""combination"": ""controlled fire"", ""modifier"": ""controlled""}']","['{""combination"": ""water fire"", ""modifier"": ""water""}']","{'combination': 'electric fire', 'modifier': 'electric'}",electric fire,electric,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'controlled fire', 'modifier': 'controlled'}",controlled fire,control,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,"{'combination': 'water fire', 'modifier': 'water'}",water fire,water,1.0,0.0,0.0,1.0
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""new end"", ""modifier"": ""new""}']","['{""combination"": ""new end"", ""modifier"": ""new""}']","['{""combination"": ""new end"", ""modifier"": ""new""}']","{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}']","['{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}']","['{""combination"": ""Russian doll"", ""modifier"": ""Russian""}']","{'combination': 'matryoshka doll', 'modifier': 'matryoshka'}",matryoshka doll,matryoshka,1.0,1.0,1.0,0.0,"{'combination': 'matryoshka doll', 'modifier': 'matryoshka'}",matryoshka doll,matryoshka,1.0,1.0,1.0,0.0,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""albino crow"", ""modifier"": ""albino""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}']","{'combination': 'albino crow', 'modifier': 'albino'}",albino crow,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'albino crow', 'modifier': 'albino'}",albino crow,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'albino crow', 'modifier': 'albino'}",albino crow,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""combination"": ""large spot"", ""modifier"": ""large""}']","['{""combination"": ""big spot"", ""modifier"": ""big""}']","['{""combination"": ""large spot"", ""modifier"": ""large""}']","{'combination': 'large spot', 'modifier': 'large'}",large spot,large,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'big spot', 'modifier': 'big'}",big spot,big,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'large spot', 'modifier': 'large'}",large spot,large,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"Lady Romaine waved her scented kerchief, and then routed her scentbottle out of her reticule, and turning sharply upon her daughter, said, Why sit you ever like a stuffed owl, without so much as a word or a smile?",a stuffed owl,owl,stuff,inactive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 1, 3)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']","['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']","['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']","{'combination': 'sleeping owl', 'modifier': 'sleeping'}",sleeping owl,sleep,0.8888888888888888,1.0,1.0,0.0,"{'combination': 'sleeping owl', 'modifier': 'sleeping'}",sleeping owl,sleep,1.0,1.0,1.0,0.0,"{'combination': 'sleeping owl', 'modifier': 'sleeping'}",sleeping owl,sleep,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
