sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,gpt-4o_naive_0_generated_,gpt-4o_naive_1_generated_,gpt-4o_naive_2_generated_,gpt-4o_naive_0_generated,gpt-4o_naive_0_property,gpt-4o_naive_0_combination_relevance,gpt-4o_naive_0_root_relevance,gpt-4o_naive_0_modifier_relevance,gpt-4o_naive_0_indiv_max,gpt-4o_naive_0_cancellation,gpt-4o_naive_1_generated,gpt-4o_naive_1_property,gpt-4o_naive_1_combination_relevance,gpt-4o_naive_1_root_relevance,gpt-4o_naive_1_modifier_relevance,gpt-4o_naive_1_indiv_max,gpt-4o_naive_1_cancellation,gpt-4o_naive_2_generated,gpt-4o_naive_2_property,gpt-4o_naive_2_combination_relevance,gpt-4o_naive_2_root_relevance,gpt-4o_naive_2_modifier_relevance,gpt-4o_naive_2_indiv_max,gpt-4o_naive_2_cancellation
,an orchard without fruit,orchard,fruit,harvest season,canceled,"(canceled, canceled, canceled)","(2, 1, 2)","(5, 3, 5)","(5, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""productive""}']","['{""property"": ""productive""}']","['{""property"": ""productive""}']",{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,{'property': 'productive'},productive,0.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778
The romantic part of his life was as dead as the foliage in winter.,the foliage in winter,foliage,winter,photosynthetic,canceled,"(canceled, canceled, canceled)","(2, 3, 2)","(5, 5, 4)","(2, 1, 1)",0.8888888888888888,0.1111111111111111,1.0,,False,0.0,1.0,"['{""property"": ""lush""}']","['{""property"": ""lush""}']","['{""property"": ""lush""}']",{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'lush'},lush,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
"The fight against piracy is as stupid as the fight against narcotics, no wait, excuse me, the war against narcotics, i guess ya can put another loss on your war talley.",the fight against narcotics,fight,narcotic,narcotic,canceled,"(others, canceled, canceled)","(1, 5, 4)","(1, 2, 2)","(5, 5, 5)",1.0,0.0,0.0,1.0,False,1.0,1.0,"['{""property"": ""illegal""}']","['{""property"": ""illegal""}']","['{""property"": ""illegal""}']",{'property': 'illegal'},illegal,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,{'property': 'illegal'},illegal,0.0,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,{'property': 'illegal'},illegal,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
"They had all glinted together in the sunshine, wheeling together, sinking together, rising together like an army of fairies.",an army of fairies,army,fairies,disciplined,canceled,"(canceled, canceled, others)","(2, 3, 3)","(5, 5, 5)","(1, 1, 2)",0.6666666666666666,0.2222222222222222,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""tiny""}']","['{""property"": ""invisible""}']","['{""property"": ""invisible""}']",{'property': 'tiny'},tiny,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,{'property': 'invisible'},invisible,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'invisible'},invisible,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
"great , he 'd seen me tear into here like a bunny on fire . ",a bunny on fire,bunny,fire,fluffy,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""cute""}']","['{""property"": ""cute""}']","['{""property"": ""cute""}']",{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'cute'},cute,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"rage shot through me , but it was as explosive as a wet fuse .",a wet fuse,fuse,wet,flammable,canceled,"(component, canceled, canceled)","(2, 2, 2)","(3, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""functional""}']","['{""property"": ""functional""}']","['{""property"": ""functional""}']",{'property': 'functional'},functional,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'functional'},functional,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'functional'},functional,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
But I know nothing about motorcycles so my opinion is probably as useful as a gun with zero bullets.,a gun with zero bullets,gun,bullet,lethal,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(5, 5, 5)",0.8888888888888888,0.0,0.8888888888888888,0.833333333,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""lethal""}']","['{""property"": ""dangerous""}']","['{""property"": ""lethal""}']",{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'dangerous'},dangerous,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,{'property': 'lethal'},lethal,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
the sap ran from the scalding hole and dripped steadily like blood onto the ground .,blood onto the ground,blood,ground,solid,canceled,"(canceled, canceled, canceled)","(1, 1, 3)","(1, 1, 2)","(4, 4, 5)",0.8888888888888888,0.0,0.0,0.655555556,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""contained""}']","['{""property"": ""contained""}']","['{""property"": ""contained""}']",{'property': 'contained'},contained,0.0,1.0,0.0,1.0,1.0,{'property': 'contained'},contained,0.0,1.0,0.0,1.0,1.0,{'property': 'contained'},contained,0.0,1.0,0.0,1.0,1.0
"Sometimes I think the trouble with that woman is that she's formed an appetite for borrowing, just like an appetite for drugs, you know.",an appetite for drugs,appetite,drugs,desire for food,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.3333333333333333,1.0,"['{""property"": ""healthy""}']","['{""property"": ""healthy""}']","['{""property"": ""healthy""}']",{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,{'property': 'healthy'},healthy,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
,a white fawn,fawn,white,brown,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(2, 3, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""common""}']","['{""property"": ""common""}']","['{""property"": ""common""}']",{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667,{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667,{'property': 'common'},common,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667
