sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-2024-12-17_naive_0_generated_,o1-2024-12-17_naive_1_generated_,o1-2024-12-17_naive_2_generated_,o1-2024-12-17_naive_0_generated,o1-2024-12-17_naive_0_combination,o1-2024-12-17_naive_0_modifier,o1-2024-12-17_naive_0_combination_relevance,o1-2024-12-17_naive_0_modifier_relevance,o1-2024-12-17_naive_0_indiv_max,o1-2024-12-17_naive_0_emergence,o1-2024-12-17_naive_1_generated,o1-2024-12-17_naive_1_combination,o1-2024-12-17_naive_1_modifier,o1-2024-12-17_naive_1_combination_relevance,o1-2024-12-17_naive_1_modifier_relevance,o1-2024-12-17_naive_1_indiv_max,o1-2024-12-17_naive_1_emergence,o1-2024-12-17_naive_2_generated,o1-2024-12-17_naive_2_combination,o1-2024-12-17_naive_2_modifier,o1-2024-12-17_naive_2_combination_relevance,o1-2024-12-17_naive_2_modifier_relevance,o1-2024-12-17_naive_2_indiv_max,o1-2024-12-17_naive_2_emergence
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""neglected lettuce"", ""modifier"": ""neglected""}']","['{""combination"": ""forgotten lettuce"", ""modifier"": ""forgotten""}']","['{""combination"": ""warm lettuce"", ""modifier"": ""warm""}']","{'combination': 'neglected lettuce', 'modifier': 'neglected'}",neglected lettuce,neglect,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'forgotten lettuce', 'modifier': 'forgotten'}",forgotten lettuce,forget,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'warm lettuce', 'modifier': 'warm'}",warm lettuce,warm,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""glowing moth"", ""modifier"": ""glowing""}']","['{""combination"": ""glowing moth"", ""modifier"": ""glowing""}']","['{""combination"": ""rare moth"", ""modifier"": ""rare""}']","{'combination': 'glowing moth', 'modifier': 'glowing'}",glowing moth,glow,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'glowing moth', 'modifier': 'glowing'}",glowing moth,glow,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'rare moth', 'modifier': 'rare'}",rare moth,rare,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""combination"": ""diluted effect"", ""modifier"": ""diluted""}']","['{""combination"": ""latent effect"", ""modifier"": ""latent""}']","['{""combination"": ""phantom effect"", ""modifier"": ""phantom""}']","{'combination': 'diluted effect', 'modifier': 'diluted'}",diluted effect,dilute,0.0,0.0,0.0,0.0,"{'combination': 'latent effect', 'modifier': 'latent'}",latent effect,latent,0.0,0.0,0.0,0.0,"{'combination': 'phantom effect', 'modifier': 'phantom'}",phantom effect,phantom,0.0,0.0,0.0,0.0
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""cardboard pillar"", ""modifier"": ""cardboard""}']","['{""combination"": ""inflatable pillar"", ""modifier"": ""inflatable""}']","['{""combination"": ""sand pillar"", ""modifier"": ""sand""}']","{'combination': 'cardboard pillar', 'modifier': 'cardboard'}",cardboard pillar,cardboard,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'inflatable pillar', 'modifier': 'inflatable'}",inflatable pillar,inflatable,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.11111111111111105,"{'combination': 'sand pillar', 'modifier': 'sand'}",sand pillar,sand,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5555555555555556
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""unstable council"", ""modifier"": ""unstable""}']","['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","['{""combination"": ""interim council"", ""modifier"": ""interim""}']","{'combination': 'unstable council', 'modifier': 'unstable'}",unstable council,unstable,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'interim council', 'modifier': 'interim'}",interim council,interim,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""Mormon missionary"", ""modifier"": ""Mormon""}']","['{""combination"": ""marching missionary"", ""modifier"": ""marching""}']","['{""combination"": ""Mormon missionary"", ""modifier"": ""Mormon""}']","{'combination': 'mormon missionary', 'modifier': 'mormon'}",mormon missionary,mormon,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'marching missionary', 'modifier': 'marching'}",marching missionary,marching,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'mormon missionary', 'modifier': 'mormon'}",mormon missionary,mormon,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""cloud castle"", ""modifier"": ""cloud""}']","['{""combination"": ""sky castle"", ""modifier"": ""sky""}']","['{""combination"": ""ethereal castle"", ""modifier"": ""ethereal""}']","{'combination': 'cloud castle', 'modifier': 'cloud'}",cloud castle,cloud,1.0,0.0,0.1111111111111111,0.8888888888888888,"{'combination': 'sky castle', 'modifier': 'sky'}",sky castle,sky,1.0,0.0,0.1111111111111111,0.8888888888888888,"{'combination': 'ethereal castle', 'modifier': 'ethereal'}",ethereal castle,ethereal,1.0,0.7777777777777778,0.7777777777777778,0.2222222222222222
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""floating island"", ""modifier"": ""floating""}']","['{""combination"": ""sky island"", ""modifier"": ""sky""}']","['{""combination"": ""sky island"", ""modifier"": ""sky""}']","{'combination': 'floating island', 'modifier': 'floating'}",floating island,float,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'sky island', 'modifier': 'sky'}",sky island,sky,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'sky island', 'modifier': 'sky'}",sky island,sky,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445
"actually , it 's kind of like the old days .",the old days,day,old,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""carefree day"", ""modifier"": ""carefree""}']","['{""combination"": ""summer day"", ""modifier"": ""summer""}']","['{""combination"": ""golden day"", ""modifier"": ""golden""}']","{'combination': 'carefree day', 'modifier': 'carefree'}",carefree day,carefree,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'summer day', 'modifier': 'summer'}",summer day,summer,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.0,"{'combination': 'golden day', 'modifier': 'golden'}",golden day,golden,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""pink raven"", ""modifier"": ""pink""}']","['{""combination"": ""blue raven"", ""modifier"": ""blue""}']","['{""combination"": ""white raven"", ""modifier"": ""white""}']","{'combination': 'pink raven', 'modifier': 'pink'}",pink raven,pink,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'blue raven', 'modifier': 'blue'}",blue raven,blue,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white raven', 'modifier': 'white'}",white raven,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
