sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_property,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_root_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_emergence,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_property,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_root_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_emergence,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_property,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_root_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_emergence
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,strand,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(3, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""shipwrecked""}']","['{""property"": ""stranded""}']","['{""property"": ""stranded""}']",{'property': 'shipwrecked'},shipwrecked,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666667,{'property': 'stranded'},stranded,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'stranded'},stranded,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""dehydrated""}']","['{""property"": ""withered""}']","['{""property"": ""unappetizing""}']",{'property': 'dehydrated'},dehydrated,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,{'property': 'withered'},withered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'unappetizing'},unappetizing,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""irresistible attraction""}']","['{""property"": ""fatal attraction""}']","['{""property"": ""entrapment""}']",{'property': 'irresistible attraction'},irresistible attraction,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,{'property': 'fatal attraction'},fatal attraction,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.11111111111111105,{'property': 'entrapment'},entrapment,0.7777777777777778,0.3333333333333333,0.0,0.3333333333333333,0.4444444444444445
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']","['{""property"": ""acausal""}']",{'property': 'paradoxical'},paradoxical,1.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.4444444444444444,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'acausal'},acausal,1.0,0.0,0.0,0.0,1.0
"The letter may have the germ of life in it, but it has no breath of spring to evoke it winter seeds they are, as hard as the winter's soil, as icy as the winter's air, no thawing nor germinating by them.",the winter's soil,soil,winter,lifeless,emergent,"(component, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(4, 4, 4)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""frozen""}']","['{""property"": ""dormant""}']","['{""property"": ""frozen""}']",{'property': 'frozen'},frozen,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,{'property': 'dormant'},dormant,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'frozen'},frozen,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""uniformly dressed""}']","['{""property"": ""systematic evangelism""}']","['{""property"": ""organized evangelism""}']",{'property': 'uniformly dressed'},uniformly dressed,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'systematic evangelism'},systematic evangelism,1.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.11111111111111116,{'property': 'organized evangelism'},organized evangelism,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""impractical""}']","['{""property"": ""unrealistic""}']","['{""property"": ""unrealistic""}']",{'property': 'impractical'},impractical,1.0,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444444,{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unrealistic'},unrealistic,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
"In strict accordance with the traditions of the navy, he wore kid gloves, without which a naval officer, on a ceremonial occasion, would be as incomplete as a ship without a rudder.",a ship without a rudder,ship,rudder,directionless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(4, 1, 1)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""unsteerable""}']","['{""property"": ""directionless""}']","['{""property"": ""unsteerable""}']",{'property': 'unsteerable'},unsteerable,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,{'property': 'directionless'},directionless,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,{'property': 'unsteerable'},unsteerable,1.0,0.0,0.0,0.0,1.0
"Bertha ate sparingly, for her heart was as swollen as a sponge in water.",a sponge in water,sponge,water,swollen,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""saturated""}']","['{""property"": ""saturated""}']","['{""property"": ""saturated""}']",{'property': 'saturated'},saturated,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'saturated'},saturated,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'saturated'},saturated,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
"Knowing that only one side of the Boonesborough palisade had been completed, and that the warparty was five times as strong as the population of the hamlet, he thought to delay operations by strategy.",the population of the hamlet,population,hamlet,limit,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 4, 3)","(3, 5, 3)",0.0,0.3333333333333333,0.5555555555555556,0.0,False,0.5555555555555556,"['{""property"": ""close-knit""}']","['{""property"": ""tight-knit""}']","['{""property"": ""close-knit""}']",{'property': 'close-knit'},close-knit,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'tight-knit'},tight-knit,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445,{'property': 'close-knit'},close-knit,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445
