sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_generated_,Meta-Llama-3.1-70B-Instruct_naive_1_generated_,Meta-Llama-3.1-70B-Instruct_naive_2_generated_,Meta-Llama-3.1-70B-Instruct_naive_0_generated,Meta-Llama-3.1-70B-Instruct_naive_0_property,Meta-Llama-3.1-70B-Instruct_naive_0_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_0_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_0_emergence,Meta-Llama-3.1-70B-Instruct_naive_1_generated,Meta-Llama-3.1-70B-Instruct_naive_1_property,Meta-Llama-3.1-70B-Instruct_naive_1_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_1_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_1_emergence,Meta-Llama-3.1-70B-Instruct_naive_2_generated,Meta-Llama-3.1-70B-Instruct_naive_2_property,Meta-Llama-3.1-70B-Instruct_naive_2_combination_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_root_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_modifier_relevance,Meta-Llama-3.1-70B-Instruct_naive_2_indiv_max,Meta-Llama-3.1-70B-Instruct_naive_2_emergence
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,strand,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(3, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""wrecked""}']","['{""property"": ""wrecked""}']","['{""property"": ""wrecked""}']",{'property': 'wrecked'},wrecked,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,{'property': 'wrecked'},wrecked,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,{'property': 'wrecked'},wrecked,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666667
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""wilted""}']","['{""property"": ""wilted""}']","['{""property"": ""wilted""}']",{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'wilted'},wilted,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""irresistible""}']","['{""property"": ""inevitable""}']","['{""property"": ""irresistible""}']",{'property': 'irresistible'},irresistible,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'inevitable'},inevitable,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778,{'property': 'irresistible'},irresistible,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']","['{""property"": ""paradoxical""}']",{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667
"The letter may have the germ of life in it, but it has no breath of spring to evoke it winter seeds they are, as hard as the winter's soil, as icy as the winter's air, no thawing nor germinating by them.",the winter's soil,soil,winter,lifeless,emergent,"(component, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(4, 4, 4)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""frozen""}']","['{""property"": ""frozen""}']","['{""property"": ""barren""}']",{'property': 'frozen'},frozen,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.0,{'property': 'frozen'},frozen,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,{'property': 'barren'},barren,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.11111111111111116
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""conservative""}']","['{""property"": ""proselytizing""}']","['{""property"": ""conservative""}']",{'property': 'conservative'},conservative,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.11111111111111116,{'property': 'proselytizing'},proselytizing,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.0,{'property': 'conservative'},conservative,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""unrealistic""}']","['{""property"": ""unrealistic""}']","['{""property"": ""unattainable""}']",{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unrealistic'},unrealistic,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unattainable'},unattainable,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
"In strict accordance with the traditions of the navy, he wore kid gloves, without which a naval officer, on a ceremonial occasion, would be as incomplete as a ship without a rudder.",a ship without a rudder,ship,rudder,directionless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(4, 1, 1)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""uncontrollable""}']","['{""property"": ""uncontrollable""}']","['{""property"": ""uncontrollable""}']",{'property': 'uncontrollable'},uncontrollable,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'uncontrollable'},uncontrollable,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'uncontrollable'},uncontrollable,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666
"Bertha ate sparingly, for her heart was as swollen as a sponge in water.",a sponge in water,sponge,water,swollen,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""absorbent""}']","['{""property"": ""expanded""}']","['{""property"": ""buoyant""}']",{'property': 'absorbent'},absorbent,1.0,1.0,0.0,1.0,0.0,{'property': 'expanded'},expanded,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'buoyant'},buoyant,0.3333333333333333,0.8888888888888888,0.0,0.8888888888888888,0.0
"Knowing that only one side of the Boonesborough palisade had been completed, and that the warparty was five times as strong as the population of the hamlet, he thought to delay operations by strategy.",the population of the hamlet,population,hamlet,limit,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 4, 3)","(3, 5, 3)",0.0,0.3333333333333333,0.5555555555555556,0.0,False,0.5555555555555556,"['{""property"": ""small""}']","['{""property"": ""small""}']","['{""property"": ""small""}']",{'property': 'small'},small,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,{'property': 'small'},small,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'small'},small,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
