sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_combination,o1-mini-2024-09-12_naive_0_modifier,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_emergence,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_combination,o1-mini-2024-09-12_naive_1_modifier,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_emergence,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_combination,o1-mini-2024-09-12_naive_2_modifier,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_emergence
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""dry lettuce"", ""modifier"": ""dry""}']","['{""combination"": ""dry lettuce"", ""modifier"": ""dry""}']","['{""combination"": ""leftover lettuce"", ""modifier"": ""leftover""}']","{'combination': 'dry lettuce', 'modifier': 'dry'}",dry lettuce,dry,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326,"{'combination': 'dry lettuce', 'modifier': 'dry'}",dry lettuce,dry,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'leftover lettuce', 'modifier': 'leftover'}",leftover lettuce,leftover,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""blue moth"", ""modifier"": ""blue""}']","['{""combination"": ""magnetic moth"", ""modifier"": ""magnetic""}']","['{""combination"": ""scented moth"", ""modifier"": ""scented""}']","{'combination': 'blue moth', 'modifier': 'blue'}",blue moth,blue,0.2222222222222222,0.0,0.3333333333333333,0.0,"{'combination': 'magnetic moth', 'modifier': 'magnetic'}",magnetic moth,magnetic,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'scented moth', 'modifier': 'scented'}",scented moth,scented,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0,"['{""combination"": ""imaginary effect"", ""modifier"": ""imaginary""}']","['{""combination"": ""zero effect"", ""modifier"": ""zero""}']","['{""combination"": ""minimal effect"", ""modifier"": ""minimal""}']","{'combination': 'imaginary effect', 'modifier': 'imaginary'}",imaginary effect,imaginary,0.0,0.0,0.0,0.0,"{'combination': 'zero effect', 'modifier': 'zero'}",zero effect,,0.0,0.0,0.0,0.0,"{'combination': 'minimal effect', 'modifier': 'minimal'}",minimal effect,minimal,0.0,0.0,0.0,0.0
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""decorative pillar"", ""modifier"": ""decorative""}']","['{""combination"": ""sand pillar"", ""modifier"": ""sand""}']","['{""combination"": ""paper pillar"", ""modifier"": ""paper""}']","{'combination': 'decorative pillar', 'modifier': 'decorative'}",decorative pillar,decorative,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'sand pillar', 'modifier': 'sand'}",sand pillar,sand,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5555555555555556,"{'combination': 'paper pillar', 'modifier': 'paper'}",paper pillar,paper,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","['```json\n{""combination"": ""temporary council"", ""modifier"": ""temporary""}\n```']","['{""combination"": ""temporary council"", ""modifier"": ""temporary""}']","{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.11111111111111105,"{'combination': 'temporary council', 'modifier': 'temporary'}",temporary council,temporary,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""medical missionary"", ""modifier"": ""medical""}']","['{""combination"": ""official missionary"", ""modifier"": ""official""}']","['{""combination"": ""clerical missionary"", ""modifier"": ""clerical""}']","{'combination': 'medical missionary', 'modifier': 'medical'}",medical missionary,medical,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'official missionary', 'modifier': 'official'}",official missionary,official,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'clerical missionary', 'modifier': 'clerical'}",clerical missionary,clerical,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.0
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""dream castle"", ""modifier"": ""dream""}']","['{""combination"": ""toy castle"", ""modifier"": ""toy""}']","['{""combination"": ""dream castle"", ""modifier"": ""dream""}']","{'combination': 'dream castle', 'modifier': 'dream'}",dream castle,dream,1.0,1.0,1.0,0.0,"{'combination': 'toy castle', 'modifier': 'toy'}",toy castle,toy,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,"{'combination': 'dream castle', 'modifier': 'dream'}",dream castle,dream,1.0,1.0,1.0,0.0
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""volcanic island"", ""modifier"": ""volcanic""}']","['{""combination"": ""rocky island"", ""modifier"": ""rocky""}']","['{""combination"": ""rocky island"", ""modifier"": ""rocky""}']","{'combination': 'volcanic island', 'modifier': 'volcanic'}",volcanic island,volcanic,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'rocky island', 'modifier': 'rocky'}",rocky island,rocky,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.22222222222222227,"{'combination': 'rocky island', 'modifier': 'rocky'}",rocky island,rocky,0.3333333333333333,0.0,0.3333333333333333,0.0
"actually , it 's kind of like the old days .",the old days,day,old,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""beautiful day"", ""modifier"": ""beautiful""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","['{""combination"": ""perfect day"", ""modifier"": ""perfect""}']","{'combination': 'beautiful day', 'modifier': 'beautiful'}",beautiful day,beautiful,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'perfect day', 'modifier': 'perfect'}",perfect day,perfect,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'perfect day', 'modifier': 'perfect'}",perfect day,perfect,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""white raven"", ""modifier"": ""white""}']","['{""combination"": ""white raven"", ""modifier"": ""white""}']","['{""combination"": ""hidden raven"", ""modifier"": ""hidden""}']","{'combination': 'white raven', 'modifier': 'white'}",white raven,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white raven', 'modifier': 'white'}",white raven,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'hidden raven', 'modifier': 'hidden'}",hidden raven,hide,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
