sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max
Contorting and perverting a mind to pair it with another crashed the two together like a boat on the rocks.,a boat on the rocks,boat,rock,strand,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(3, 2, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333
"Glances of absolute dismay went round the table, and the stillness was as ominous as the hush before a thunderclap.",the hush before a thunderclap,hush,thunderclap,anticipatory,emergent,"(emergent, emergent, emergent)","(5, 5, 3)","(4, 4, 4)","(2, 3, 3)",0.33333333333333326,0.8888888888888888,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
"Oh, I admit that you saw an edge of reality in the trenches but, after all, life in the trenches was as abnormal as life in the movies.",life in the movies,life,movie,fantastical,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 2, 2)","(4, 4, 5)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,True,0.3333333333333333
the place was quiet like the hallway of mirrors .,the hallway of mirrors,hallway,mirror,dizzying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 4, 4)",0.4444444444444445,0.5555555555555556,0.1111111111111111,0.1111111111111111,False,0.1111111111111111
Amanda grabs the tiny silver hobble dress and runs to change into it and it fits as tight as a mermaid outfit.,a mermaid outfit,outfit,mermaid,tight,emergent,"(component, emergent, emergent)","(4, 5, 5)","(3, 3, 2)","(2, 4, 4)",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,False,0.3333333333333333
"Let a man attend distinctly to this medium, and to the conclusion, and he will perceive them to be as unlike as any two things in nature.",any two things in nature,thing,nature,dissimilar,emergent,"(component, emergent, emergent)","(4, 3, 4)","(2, 1, 2)","(3, 2, 3)",0.22222222222222227,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333
"You are in love, you want to discover the object of your passion you are getting as yellow as a lettuce without water.",a lettuce without water,lettuce,water,wilted,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 4, 4)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333
,Light ships,ship,light,nimble,emergent,"(emergent, component, emergent)","(4, 5, 4)","(3, 3, 2)","(5, 4, 4)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
"Just like a fellow outside of an omnibus, said Dick.",a fellow outside of an omnibus,fellow,omnibus,wait,emergent,"(emergent, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(2, 2, 3)",0.22222222222222227,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Is Eloise her real name, or do you call her that because she is bonny like the girl in the book?",the girl in the book,girl,book,fictional,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 5, 3)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
,a moth to a candle,moth,candle,irresistible,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 4)","(1, 4, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333
"screamed his wife, looking wildly around like a hunted thing.",a hunted thing,thing,hunt,prey,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 4, 5)",0.0,0.8888888888888888,0.0,0.8888888888888888,False,0.8888888888888888
"While he was watching, he realized that peoples' motion in a mosh pit looks kind of like molecules in a gas.",molecules in a gas,molecule,gas,random,emergent,"(emergent, component, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 4, 4)",0.6666666666666666,0.8888888888888888,0.2222222222222222,0.0,False,0.2222222222222222
